,Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,OpenPorchSF,PoolArea,MoSold,YrSold,SalePrice
0,1,60,RL,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,2003,2003,Gable,Gd,TA,PConc,Gd,TA,706,150,856,GasA,Ex,Y,SBrkr,856,854,1710,2,1,3,1,Gd,8,0,2,548,61,0,2,2008,208500
1,2,20,RL,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,1Fam,1Story,6,8,1976,1976,Gable,TA,TA,CBlock,Gd,TA,978,284,1262,GasA,Ex,Y,SBrkr,1262,0,1262,2,0,3,1,TA,6,1,2,460,0,0,5,2007,181500
2,3,60,RL,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,2001,2002,Gable,Gd,TA,PConc,Gd,TA,486,434,920,GasA,Ex,Y,SBrkr,920,866,1786,2,1,3,1,Gd,6,1,2,608,42,0,9,2008,223500
3,4,70,RL,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,7,5,1915,1970,Gable,TA,TA,BrkTil,TA,Gd,216,540,756,GasA,Gd,Y,SBrkr,961,756,1717,1,0,3,1,Gd,7,1,3,642,35,0,2,2006,140000
4,5,60,RL,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,1Fam,2Story,8,5,2000,2000,Gable,Gd,TA,PConc,Gd,TA,655,490,1145,GasA,Ex,Y,SBrkr,1145,1053,2198,2,1,4,1,Gd,9,1,3,836,84,0,12,2008,250000
5,6,50,RL,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,5,5,1993,1995,Gable,TA,TA,Wood,Gd,TA,732,64,796,GasA,Ex,Y,SBrkr,796,566,1362,1,1,1,1,TA,5,0,2,480,30,0,10,2009,143000
6,7,20,RL,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2004,2005,Gable,Gd,TA,PConc,Ex,TA,1369,317,1686,GasA,Ex,Y,SBrkr,1694,0,1694,2,0,3,1,Gd,7,1,2,636,57,0,8,2007,307000
7,8,60,RL,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,7,6,1973,1973,Gable,TA,TA,CBlock,Gd,TA,859,216,1107,GasA,Ex,Y,SBrkr,1107,983,2090,2,1,3,1,TA,7,2,2,484,204,0,11,2009,200000
8,9,50,RM,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,7,5,1931,1950,Gable,TA,TA,BrkTil,TA,TA,0,952,952,GasA,Gd,Y,FuseF,1022,752,1774,2,0,2,2,TA,8,2,2,468,0,0,4,2008,129900
9,10,190,RL,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,2fmCon,1.5Unf,5,6,1939,1950,Gable,TA,TA,BrkTil,TA,TA,851,140,991,GasA,Ex,Y,SBrkr,1077,0,1077,1,0,2,2,TA,5,2,1,205,4,0,1,2008,118000
