,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,GarageArea,OpenPorchSF,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleCondition,SaleFlag
0,60,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,2003,2003,Gable,Gd,TA,PConc,Gd,TA,706,150,856,GasA,Ex,Y,SBrkr,856,854,1710,2,1,3,1,Gd,8,0,,2,548,61,0,,,2,2008,Normal,Normal
1,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,1Fam,1Story,6,8,1976,1976,Gable,TA,TA,CBlock,Gd,TA,978,284,1262,GasA,Ex,Y,SBrkr,1262,0,1262,2,0,3,1,TA,6,1,TA,2,460,0,0,,,5,2007,Normal,Normal
2,60,RL,68.0,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,2001,2002,Gable,Gd,TA,PConc,Gd,TA,486,434,920,GasA,Ex,Y,SBrkr,920,866,1786,2,1,3,1,Gd,6,1,TA,2,608,42,0,,,9,2008,Normal,Normal
3,70,RL,60.0,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,7,5,1915,1970,Gable,TA,TA,BrkTil,TA,Gd,216,540,756,GasA,Gd,Y,SBrkr,961,756,1717,1,0,3,1,Gd,7,1,Gd,3,642,35,0,,,2,2006,Abnorml,Abnorml
4,60,RL,84.0,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,1Fam,2Story,8,5,2000,2000,Gable,Gd,TA,PConc,Gd,TA,655,490,1145,GasA,Ex,Y,SBrkr,1145,1053,2198,2,1,4,1,Gd,9,1,TA,3,836,84,0,,,12,2008,Normal,Normal
5,50,RL,85.0,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,5,5,1993,1995,Gable,TA,TA,Wood,Gd,TA,732,64,796,GasA,Ex,Y,SBrkr,796,566,1362,1,1,1,1,TA,5,0,,2,480,30,0,,MnPrv,10,2009,Normal,Normal
6,20,RL,75.0,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2004,2005,Gable,Gd,TA,PConc,Ex,TA,1369,317,1686,GasA,Ex,Y,SBrkr,1694,0,1694,2,0,3,1,Gd,7,1,Gd,2,636,57,0,,,8,2007,Normal,Normal
7,60,RL,,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,7,6,1973,1973,Gable,TA,TA,CBlock,Gd,TA,859,216,1107,GasA,Ex,Y,SBrkr,1107,983,2090,2,1,3,1,TA,7,2,TA,2,484,204,0,,,11,2009,Normal,Normal
8,50,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,7,5,1931,1950,Gable,TA,TA,BrkTil,TA,TA,0,952,952,GasA,Gd,Y,FuseF,1022,752,1774,2,0,2,2,TA,8,2,TA,2,468,0,0,,,4,2008,Abnorml,Abnorml
9,190,RL,50.0,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,2fmCon,1.5Unf,5,6,1939,1950,Gable,TA,TA,BrkTil,TA,TA,851,140,991,GasA,Ex,Y,SBrkr,1077,0,1077,1,0,2,2,TA,5,2,TA,1,205,4,0,,,1,2008,Normal,Normal
